Fridge;Sklad
"ВМРП 221ст19,20";"07008"
"ВМРП 221ст2";"07008"
"ВМРП 221ст21,14";"07008"
"ВМРП 221ст23,3";"07008"
"ВМРП 221ст6";"07008"
"ВМРП 222";"794"
"ВМРП 222 М";"06950"
"ВМРП 222 ст6-7";"06950"
"ВМРП 222ст13,14";"06950"
"ВМРП 222ст2,3";"06950"
"ВМРП 222ст2,3,4";"06950"
"ВМРП 222ст3,4,8";"06950"
"ВМРП 222ст6,7,8";"06950"
"ВМРП 223";"784"
"ВМРП 223 ст16,8";"06950"
"ВМРП 223ст16,8";"06950"
"ВМРП 223ст16,8,";"06950"
"ВМРП 223ст20";"06950"
"ВМРП 231";"772"
"ВМРП 231ст";"07008"
"ВМРП 231ст12р";"07008"
"ВМРП 231ст23";"07008"
"ВМРП 231ст26,27";"07008"
"ВМРП 232";"769"
"ВМРП 232ст4,5";"06987"
"ВМРП 232ст5,6";"06987"
"ВМРП 233";"772"
"ВМРП 233/10,12к";"2022"
"ВМРП 241";"788"
"ВМРП 241ст22";"06950"
"ВМРП 241ст22,23";"06987"
"ВМРП 242";"2186"
"ВМРП 243";"1458"
"ВМРП 244";"1791"
"ВМРП 244ст20,21";"06987"
"ВМРП 244ст21";"06987"
"ВМРП 244ст26,27";"07008"
"ВМРП 244ст3,40";"06987"
"ВМРП 244ст39";"06987"
"ВМРП 244ст40,41";"06987"
"ВМРП 244ст41";"06987"
"ВМРП 324";"47"
"ВМРП Камера -21";"Конос №0708"
"ВМРП Камера-214";"4388"
"ВМРП реф/к 6038";"БН"
"ВМРп 221ст21,14";"07008"
"ВМРп 222";"2168"
"ВРС";""
"ВРС 9746";""
"ВРС Кам-1";"0929"
"ВРС/1";"0929/1"
"Востокрефсервис";"БН"
"ДВ-Порт";"БН"
"ДВ-Порт К0- Х1";""
"ДВ-Порт К0- Х2";"1119"
"ДВ-Порт К000- Х";"1119"
"ДВ-Порт К000-Х2";"1119"
"ДВ-Порт К01- Х1";"2625"
"ДВ-Порт К01-Х1";"1836"
"ДВ-Порт К02 - Х";"Кон №13"
"ДВ-Порт К02 -Х";"Кон №13"
"ДВ-Порт К02-  Х";"2614"
"ДВ-Порт К02- Х1";"1832"
"ДВ-Порт К02-Х1";"1820"
"ДВ-Порт К1- Х1";"2609"
"ДВ-Порт К1- Х2";"1123"
"ДВ-Порт К1-Х1";"1179"
"ДВ-Порт К1-Х2";""
"ДВ-Порт К2 -Х1";"Кон №13"
"ДВ-Порт К2 -Х2";"Кон №24"
"ДВ-Порт К2- Х1";"2621"
"ДВ-Порт К2- Х2";"1773"
"ДВ-Порт К2-Х1";"1176"
"ДВ-Порт К2-Х2";"885"
"ДВ-Порт К3- Х1";""
"ДВ-Порт К3- Х2";"1780"
"ДВ-Порт К3-Х1";""
"ДВ-Порт К3-Х2";"1124"
"ДВ-Порт К4- Х1";""
"ДВ-Порт К4- Х2";"715"
"ДВ-Порт К4-Х1";"БН"
"ДВ-Порт К4-Х2";"1124"
"ДВ-Порт К5- Х1";""
"ДВ-Порт К5- Х2";"1779"
"ДВ-Порт К5-Х1";"1420"
"ДВ-Порт К5-Х2";"896"
"ДВ-Порт К6- Х1";"2613"
"ДВ-Порт К6- Х2";"1775"
"ДВ-Порт К6-Х1";""
"ДВ-Порт К6-Х2";"894"
"ДВ-Порт Конт 11";"1"
"ДВ-Порт Конт 14";"1086"
"ДВ-Порт Конт 37";""
"ДВ-Порт Конт 38";""
"ДВ-Порт Конт 55";""
"ДВ-Порт Конт 58";""
"ДВ-Порт Конт 65";""
"ДВ-Порт Конт 66";""
"ДВ-Порт Конт 71";""
"ДВ-Порт Конт 73";"1085"
"ДВ-Порт Конт 76";""
"ДВ-Порт Конт 88";""
"ДВ-Порт Конт140";"1087"
"ДВ-Порт Конт145";"1086"
"ДВ-Порт Х-1";"1982"
"ДВ-Порт Х-1 К-0";"1982"
"ДВ-Порт Х-1 К-1";""
"ДВ-Порт Х-1 К-2";""
"ДВ-Порт Х-1 К-3";""
"ДВ-Порт Х-1 К-4";""
"ДВ-Порт Х-1 К-5";""
"ДВ-Порт Х-1 К-6";""
"ДВ-Порт Х-12 К-";""
"ДВ-Порт Х-2";"Кон №13"
"ДВ-Порт Х-2 К-";""
"ДВ-Порт Х-2 К-0";"БН"
"ДВ-Порт Х-2 К-1";""
"ДВ-Порт Х-2 К-2";"1303"
"ДВ-Порт Х-2 К-3";""
"ДВ-Порт Х-2 К-4";""
"ДВ-Порт Х-2 К-5";""
"ДВ-Порт Х-2 К-6";""
"ДВ-Порт Х-2 К1-";"1630"
"ДВ-Порт Х-4 К-1";""
"ДВ-Порт Х1";""
"ДВ-Порто К3-Х2";"1417"
"ДВКонтейнер 275";"Конос   №18.16"
"ДИОМИД";""
"ДКХ";"АП ДКХ"
"ДКХ  21";"361542"
"ДКХ  22";"293963"
"ДКХ  25";"295718"
"ДКХ  28";"293897"
"ДКХ  31";"323550"
"ДКХ  35";"294000"
"ДКХ  36";"296431"
"ДКХ  47";"324080"
"ДКХ  51";"296197"
"ДКХ  57";"323332"
"ДКХ  №31";"371525"
"ДКХ 05";"142269"
"ДКХ 13";"250148"
"ДКХ 14";"142322"
"ДКХ 15";"БН"
"ДКХ 16";"294197"
"ДКХ 17";"361740"
"ДКХ 18";"294515"
"ДКХ 19";"294510"
"ДКХ 20";"296437"
"ДКХ 21";"293987"
"ДКХ 21/22";"1112"
"ДКХ 22";"293993"
"ДКХ 23";"351396"
"ДКХ 24";"309131"
"ДКХ 25";"293808"
"ДКХ 26";"294513"
"ДКХ 27";"323646"
"ДКХ 28";"293895"
"ДКХ 31";"294844"
"ДКХ 32";"294837"
"ДКХ 33";"295178"
"ДКХ 34";"296797"
"ДКХ 35";"293986"
"ДКХ 36";"294363"
"ДКХ 37";""
"ДКХ 41";"420471"
"ДКХ 42";"361661"
"ДКХ 42,47";"308426"
"ДКХ 43";"351440"
"ДКХ 45";"293924"
"ДКХ 46";"296484"
"ДКХ 47";"420499"
"ДКХ 51";"323330"
"ДКХ 52";"296192"
"ДКХ 55";"296473"
"ДКХ 56";"296954"
"ДКХ 57";"306551"
"ДКХ №23";"002502"
"ДКХ №25";"002502"
"ДКХ кам№11";"б/н"
"ДКХ кам№12";"б/н"
"ДКХ кам№13";"б/н"
"ДКХ-13";"305754"
"ДКХ-16";"610034"
"ДКХ-17";"663"
"ДКХ-25";"293803"
"ДКХ-26";""
"ДКХ-28";"293902"
"ДКХ-31";"734"
"ДКХ-32";"734"
"ДКХ-33";"ТХ-318"
"ДКХ-35";"ТХ-318"
"ДКХ33";"1302"
"ДМП";"БН"
"ДМП  Х-1";""
"ДМП  Х-1 К-1";"368"
"ДМП  Х-1 К-2";"372"
"ДМП  Х-1 К-3";"506"
"ДМП  Х-1 К-4";"507"
"ДМП  Х-1 К-5";"599"
"ДМП  Х-1 К-6";"502"
"ДМП  Х-2";""
"ДМП  Х-2 К-1";"442"
"ДМП  Х-2 К-2";"1222"
"ДМП  Х-2 К-4";"1618"
"ДМП  Х-2 К-6";""
"ДМП  Х-5";"599"
"ДМП 1";"1129"
"ДМП Склад 5";"669"
"ДМП Х";""
"ДМП Х-1";""
"ДМП Х-1  К-1";"1084"
"ДМП Х-1  К-2";"1537"
"ДМП Х-1  К-3";"271"
"ДМП Х-1  К-4";"1536"
"ДМП Х-1  К-5";"1534"
"ДМП Х-1  К-6";"12367"
"ДМП Х-1 К-1";"БН"
"ДМП Х-1 К-2";"1537"
"ДМП Х-1 К-4";"1536"
"ДМП Х-1 К-5";"1530"
"ДМП Х-1 К-6";"БП"
"ДМП Х-1 К6";"12367"
"ДМП Х-2  К-1";"1295"
"ДМП Х-2  К-2";"1290"
"ДМП Х-2  К-3";"1335"
"ДМП Х-2  К-4";"1316"
"ДМП Х-2  К-5";"1303"
"ДМП Х-2  К-6";""
"ДМП Х-2  К2";"1290"
"ДМП Х-2 К-1";"1283"
"ДМП Х-2 К-2";"1166"
"ДМП Х-2 К-3";"119"
"ДМП Х-2 К-4";"119"
"ДМП Х-2 К-5";"1303"
"ДМП Х-2 К-6";"1338"
"ДМП хол№1";"124"
"ДМП хол№1кам№4";"125"
"ДМП хол№2ам№2";"120"
"ДМП хол№2кам№1";"124"
"ДМП хол№2кам№2";"124"
"ДМП хол№2кам№3";"120"
"ДМП хол№2кам№4";"120"
"ДМП хол№2кам№5";"124"
"ДМП хол№2кам№6";"124"
"ДМП-1";"БН"
"ДМП-Порт";"БН"
"ДМП1";"1129"
"ДМп  Х-2 К-2";"283"
"ДМп Х-2  К-2";"474"
"Дельфин";""
"Зарубино";""
"Зарубино К-101";"2549"
"Зарубино К-102";"249"
"Зарубино К-105";"249"
"Зарубино К-106";"249"
"Ком-ные решения";"БН"
"Комп-ные решени";"БН"
"Комп-ные решния";"БН"
"Компл-ные решни";"БН"
"Комплексные реш";"БН"
"Конт  № 11";""
"Конт  № 114";"1155"
"Конт  № 115";"1155 Кон №1"
"Конт  № 13";""
"Конт  № 20";""
"Конт  № 21";""
"Конт  № 23";""
"Конт  № 24";""
"Конт  № 33";"1347 Кон №12"
"Конт  № 35";""
"Конт  № 43";""
"Конт  № 44";""
"Конт  № 47";""
"Конт  № 48";""
"Конт  № 49";""
"Конт  № 72";"1393 Кон №4"
"Конт  № 76";"1013"
"Конт  № 79";"1393 Кон №4"
"Конт  № 8";""
"Конт  № 94";""
"Конт  № 95";""
"Конт  №114";"1155 Кон №1"
"Конт  №33";"1347 Кон №12"
"Конт  №43";""
"Конт №  1";"Кон №12"
"Конт №  2";"Кон №12"
"Конт №  24";"Кон №12"
"Конт №  33";"1347 Кон №12"
"Конт №  5";"Кон №12"
"Конт № 1";"Кон №12"
"Конт № 10";"Кон №12"
"Конт № 100";"Кон №4"
"Конт № 101";"Кон №4"
"Конт № 115";"Кон №1"
"Конт № 118";"Кон №1"
"Конт № 12";"Кон №12"
"Конт № 14";"Кон №17"
"Конт № 15";"Кон №17"
"Конт № 16";"Кон №17"
"Конт № 19";"Кон №12"
"Конт № 2";"Кон №12"
"Конт № 208";"Кон №12"
"Конт № 209";"Кон №12"
"Конт № 21";"Кон №21"
"Конт № 210";"Кон №12"
"Конт № 212";"Кон №12"
"Конт № 214";"Кон №12"
"Конт № 216";"Кон №12"
"Конт № 23";"Кон №21"
"Конт № 24";"Кон №12"
"Конт № 33";"Кон №12"
"Конт № 37";"1093 Кон №21"
"Конт № 38";"Кон №21"
"Конт № 40";"Кон №21"
"Конт № 5";"Кон №21"
"Конт № 58";"1005"
"Конт № 70";"Кон №21"
"Конт № 71";"Кон №17"
"Конт № 72";"Кон №4"
"Конт № 77";"Кон №17"
"Конт № 79";"Кон №4"
"Конт № 84";"Кон №4"
"Конт № 85";"Кон №17"
"Конт № 86";"Кон №17"
"Конт № 87";"Кон №4"
"Конт № 88";"Кон №17"
"Конт № 91";"Кон №4"
"Конт № 92";"Кон №17"
"Конт № 93";"Кон №17"
"Конт № 94";"Кон №17"
"Конт № 98";"Кон №4"
"Конт №100";"Кон №17"
"Конт №103";"Кон №1"
"Конт №114";"Кон №1"
"Конт №115";"Кон №1"
"Конт №118";"Кон №1"
"Конт №125";"Кон №1"
"Конт №131";"Кон №1"
"Конт №171";"Кон №17"
"Конт №33";"1347 Кон №12"
"Конт №37";"Кон №21"
"Конт №38";"Кон №21"
"Конт №39";"Кон №21"
"Конт №4";"Кон №21"
"Конт №43";"Кон №21"
"Конт №44";"Кон №21"
"Конт №46";"Кон №17"
"Конт №48";"Кон №21"
"Конт №57";"Кон №21"
"Конт №58";"1005"
"Конт №6";"Кон №21"
"Конт №70";"1092 Кон №21"
"Конт №76";"1013"
"Конт№58";"1005"
"Контейнер 000";""
"Контейнер 110";"1418"
"Контейнер 122";""
"Контейнер 126";""
"Контейнер 129";""
"Контейнер 134";"2598"
"Контейнер 136";"2622"
"Контейнер 151";""
"Контейнер 156";"2483"
"Контейнер 162";"1828"
"Контейнер 175";""
"Контейнер 177";"2482"
"Контейнер 178";"2483"
"Контейнер 185";"2518"
"Контейнер 19";"1418"
"Контейнер 20";"2508"
"Контейнер 21";"1417"
"Контейнер 210";"2518"
"Контейнер 233";"2482"
"Контейнер 25";"1417"
"Контейнер 250";"2482"
"Контейнер 254";"2482"
"Контейнер 26";""
"Контейнер 262";""
"Контейнер 267";""
"Контейнер 269";""
"Контейнер 274";""
"Контейнер 29";"1417"
"Контейнер 293";"1418"
"Контейнер 297";""
"Контейнер 3";"2599"
"Контейнер 30";"1417"
"Контейнер 31";""
"Контейнер 33";""
"Контейнер 37";""
"Контейнер 39";"1825"
"Контейнер 48";""
"Контейнер 49";""
"Контейнер 56";"Конос   №18.16"
"Контейнер 59";""
"Контейнер 64";"БН"
"Контейнер 69";""
"Контейнер 70";""
"Контейнер 8";"1417"
"Контейнер 82";""
"Контейнер 83";""
"Контейнер 86";"1420"
"Контейнер 90";""
"Контейнер 94";""
"Контейнер 99";""
"ЛИФАНОВСКИЙ";"ЛИФАНОВСКИЙ"
"Меридиан ДВ";"БН"
"НМРП";"БН"
"НМРП Х 2";"БН"
"НРП";"бн"
"НРП Скл.31";""
"НРП Скл.61";""
"НРП Х 2";"БН"
"ООО 'ХладЭко'";"БН"
"Остров Русский";"БН"
"ПРИЧАЛ ДИОМИД";"БП"
"ПРОДОПТИМА";"22"
"ПРОДОПТИМА №2";"22"
"ПРОДОПТИМА- №2";"22"
"РЕБИКС";"б/н"
"РЕБИКС -1";"1"
"РЕБИКС -2";"2"
"РЕБИКС 1";"1"
"РЕБИКС 2";"БН"
"РЕБИКС 2 (Управ";"1"
"РЕБИКС- 2";"2"
"РЕБИКС-1";""
"РЕБИКС-2";""
"РЫБКОП";"б/н"
"С/П 'ДМП-порт'";"б/н"
"СТЕПАНЕЦ";""
"Склад";"БН"
"Снеговая 42";"Снеговая 42"
"ТРАСТ";""
"ТС-1";"БН"
"ТС-1 К-1";"439"
"ТС-1 К-2";"388"
"ТС-1 К-4";"1331"
"ТС-1 К-5";"246"
"ТС-1 К-6";"246"
"ТС-1 К-?";"БН"
"ТС-1 К1";"439"
"ТС-1 К2";"243"
"ТС-12 К-1";"1234"
"ТС-12 К-6";"1235"
"ТС-2";"БН"
"ТС-2  К-1";"1330"
"ТС-2  К-2";"1359"
"ТС-2  К-4";"1330"
"ТС-2  К-5";"1170"
"ТС-2  К-6";"1221"
"ТС-2 - 4";"БН"
"ТС-2 4";"251"
"ТС-2 К-1";"439"
"ТС-2 К-2";"393"
"ТС-2 К-3";"119"
"ТС-2 К-4";"251"
"ТС-2 К-5";"400"
"ТС-2 К-6";"250"
"ТС-2 К-?";"БН"
"ТС-2 К4";"1249"
"ТС-2 К5";"1259"
"ТС-2 К6";"1243"
"ТС-21 К-1";"234"
"ТС-2К-4";"1243"
"ТС-2К-5";"229"
"ТС-2К-6";"250"
"ТС2 К-1";"235"
"У-ХОЛОД";"1039"
"УССУРИ ХОЛОД";"БН"
"Х-1 К-1";"БН"
"Х-1 К-2";"1129"
"Х-1 К-6";"1129"
"Х-2";""
"Х-2  К-1";"567"
"Х-2  К-2";"1170"
"Х-2  К-4";"1330"
"Х-2  К-5";"1170"
"Х-2  К-6";"1011"
"Х-2 К-1";"568"
"Х-2 К-2";"231"
"Х-2 К-3";"1168"
"Х-2 К-4";"1223"
"Х-2 К-5";"1249"
"Х-2 К-6";"1233"
"Х-2 К-?";"БН"
"Х-21 К-6";""
"Х2  К-5";"1238"
"ХК ДМП";"бн"
"ХК ДМП №1";"ПО №56"
"ХК ДМП №1-2";"1328"
"ХК ДМП №2-2";"1328"
"ХладЭко";"БН"
"контейнер 136";"2622"
"контейнер 272";""
"контейнер 274";""
"контейнер 276";""
"контейнер 286";""
"контейнер 287";""
"контейнер 288";""
"контейнер 289";""
"контейнер 291";""
"контейнер 292";""
"контейнер 296";""
"контейнер 298";""
"контейнер 299";""
"контейнер 99";"БН"
